intensidade,contagem
0,4576
1,3997
2,4109
3,5169
4,6381
5,8165
6,10364
7,11675
8,11448
9,10594
10,9329
11,8601
12,8262
13,7956
14,7912
15,7820
16,7480
17,7641
18,7708
19,7995
20,8052
21,8092
22,8432
23,8664
24,8742
25,9035
26,9383
27,9522
28,9876
29,10074
30,10370
31,10961
32,11272
33,11821
34,12068
35,12383
36,12778
37,13222
38,13714
39,13967
40,14712
41,15459
42,15602
43,16282
44,16847
45,17670
46,18378
47,18724
48,19460
49,20411
50,21284
51,21624
52,22427
53,23325
54,24072
55,24716
56,25495
57,26305
58,26831
59,27936
60,28647
61,29558
62,29851
63,30225
64,30465
65,31482
66,32087
67,32231
68,32730
69,33231
70,33314
71,33811
72,34294
73,33892
74,34667
75,34868
76,34931
77,35265
78,35257
79,35518
80,35780
81,35925
82,35988
83,36365
84,36268
85,36483
86,36259
87,36585
88,36596
89,36291
90,36802
91,36557
92,36441
93,36611
94,36594
95,36426
96,36726
97,36368
98,36477
99,36036
100,36433
101,35818
102,35422
103,35779
104,35657
105,35411
106,35025
107,35132
108,34961
109,34706
110,34699
111,34781
112,34653
113,34574
114,34361
115,34071
116,33807
117,34033
118,34191
119,34348
120,34328
121,34563
122,34657
123,34773
124,34283
125,35126
126,35160
127,35745
128,35785
129,36514
130,37107
131,37565
132,37868
133,38837
134,39406
135,40244
136,41061
137,41767
138,42688
139,43751
140,45557
141,46826
142,48339
143,50377
144,52543
145,55925
146,58717
147,62867
148,69101
149,77002
150,86515
151,97315
152,110006
153,126605
154,145657
155,166286
156,189478
157,215474
158,242841
159,270566
160,293388
161,319725
162,339910
163,355315
164,367193
165,374368
166,377968
167,375310
168,370055
169,369234
170,364550
171,359442
172,350947
173,337691
174,315706
175,290183
176,255690
177,218393
178,180355
179,144893
180,115745
181,86263
182,67395
183,51652
184,39447
185,32954
186,23679
187,22965
188,16598
189,15530
190,13516
191,10967
192,9780
193,6756
194,6347
195,4654
196,4137
197,3448
198,3037
199,2691
200,2265
201,2137
202,2032
203,1807
204,1680
205,1518
206,1418
207,1436
208,1243
209,1204
210,1177
211,1060
212,1074
213,948
214,899
215,836
216,786
217,700
218,765
219,752
220,689
221,582
222,584
223,540
224,529
225,491
226,463
227,461
228,396
229,367
230,345
231,356
232,327
233,297
234,315
235,267
236,266
237,251
238,229
239,231
240,221
241,192
242,183
243,143
244,192
245,167
246,142
247,127
248,116
249,110
250,110
251,100
252,114
253,108
254,250
255,52
