intensidade,contagem
0,1205
1,1659
2,1138
3,2440
4,3089
5,3222
6,4618
7,5696
8,6831
9,7412
10,8315
11,8719
12,8530
13,8362
14,8370
15,7909
16,7785
17,7528
18,7221
19,7096
20,7066
21,7151
22,7065
23,7072
24,7126
25,7159
26,7188
27,7504
28,7645
29,7675
30,7837
31,8081
32,8269
33,8513
34,8437
35,8909
36,9269
37,9341
38,9492
39,9828
40,10030
41,10579
42,10627
43,10932
44,11013
45,11337
46,11762
47,12080
48,12228
49,12765
50,13008
51,13259
52,13583
53,14112
54,14591
55,14988
56,15383
57,15897
58,16452
59,16712
60,17195
61,17710
62,17929
63,18834
64,19421
65,19874
66,20699
67,20999
68,21796
69,22718
70,23401
71,23997
72,24884
73,25366
74,25855
75,26994
76,27483
77,28455
78,28737
79,29889
80,30136
81,30948
82,31206
83,31752
84,32666
85,32715
86,33726
87,33892
88,34572
89,34829
90,35283
91,35203
92,35718
93,35872
94,36057
95,36208
96,36425
97,36263
98,36664
99,37090
100,37256
101,36825
102,37303
103,37038
104,37406
105,36980
106,37153
107,37258
108,36708
109,37059
110,36759
111,36821
112,36603
113,36379
114,36252
115,35965
116,35856
117,35841
118,35525
119,35460
120,35373
121,34959
122,35489
123,35207
124,35028
125,35417
126,35531
127,35259
128,35527
129,35672
130,35943
131,35702
132,36435
133,36904
134,37116
135,37735
136,38305
137,38924
138,39697
139,40145
140,40596
141,41541
142,42812
143,43801
144,44303
145,45245
146,46377
147,47733
148,48939
149,49737
150,51084
151,52469
152,53700
153,54633
154,56261
155,58224
156,59422
157,60728
158,62515
159,63681
160,65501
161,67022
162,69208
163,71073
164,74216
165,77516
166,82341
167,87793
168,94318
169,104175
170,115576
171,130400
172,150709
173,173559
174,202602
175,235864
176,274299
177,314853
178,356290
179,396346
180,429561
181,453254
182,462589
183,461916
184,452410
185,435666
186,413636
187,384065
188,350204
189,311988
190,271002
191,228528
192,185948
193,147428
194,114511
195,86419
196,64279
197,46812
198,33351
199,23944
200,16898
201,12332
202,8997
203,6905
204,5246
205,4196
206,3612
207,2958
208,2669
209,2251
210,2128
211,1933
212,1721
213,1617
214,1490
215,1400
216,1252
217,1232
218,1153
219,1127
220,1024
221,945
222,881
223,867
224,808
225,750
226,681
227,610
228,594
229,526
230,514
231,485
232,469
233,448
234,415
235,359
236,345
237,346
238,307
239,287
240,256
241,236
242,215
243,218
244,216
245,189
246,177
247,159
248,137
249,118
250,111
251,104
252,146
253,86
254,95
255,486
